id,sku,type,sex,color,breed,feed,age_in_month,slides,sale_offer_percentage,feedlot_in_month,teeth,parts_available,height_in_inch,youtube_slug,weight_in_kg,price,is_special,is_dewormed,is_fmd_vaccinated,is_anthrax_vaccinated,is_lumpy_skin_disease,size,thumbnail,created_at,status
3c34dcc6-00e9-4d2f-bea2-277e0a671674,BLF 4319,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2.5 Years,"[{'id': 'd43431b4-4252-4fa5-ab82-15c81b4f5681', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4319_2.jpg'}, {'id': 'a6fd301d-d278-4595-afd6-a3792f76280b', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4319_3.jpg'}, {'id': 'fa8c68e2-26be-4b3c-b42f-9849a72172bb', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4319_4.jpg'}]",0.0,3 Months,4,0,42.0,UbMbwZchiCc,257.0,161000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4319_1.jpg,2024-05-21T12:02:05.712108+06:00,AVAILABLE
bdf0c029-350d-407b-822c-ad2de6d5b3d5,BLF 4325,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],3 Years,"[{'id': '56830e16-8ffc-4c92-8e85-151d4ed29df1', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4325_2.jpg'}, {'id': 'a0b1d367-a974-4dd8-ba35-73fc9e91efbd', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4325_3.jpg'}, {'id': '6a4fe318-fc19-4dec-a96c-a96d5411572f', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4325_4.jpg'}]",0.0,3 Months,6,0,41.0,g1Tbxt4kXvU,205.0,132000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4325_1.jpg,2024-05-19T15:14:13.940790+06:00,ORDERED
2adaebf3-56b5-41a5-9bee-2d5c7bd261b3,BLF 4133,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '5990964f-8e42-41bb-a46d-438f1ca01674', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4133_2.jpg'}, {'id': '23d3bde7-fc55-477f-a7e5-e60d7b27d876', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4133_3.jpg'}, {'id': '0cf5d1b0-3c88-4538-9fc2-1a3edbd15ee3', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4133_4.jpg'}]",0.0,6 Months,2,0,45.0,SPy7LzHW1a4,0.0,0.00,False,True,True,True,True,MEDIUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4133_1.jpg,2024-05-08T21:20:33.804172+06:00,AVAILABLE
25e648c5-4035-4ab6-9b10-90a767fcd29f,BLF 4127,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '31464e33-958e-48cb-9e61-ebd96225b871', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4127_2.jpg'}, {'id': '00a52cd6-d9bf-4946-8d1d-e7d48f84cf25', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4127_3.jpg'}, {'id': '95aa15f0-9c27-4a7c-ab0e-4bc4ad33dfb7', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4127_4.jpg'}]",0.0,6 Months,2,0,45.1,RxOa7jh-BgI,0.0,0.00,False,True,True,True,True,MEDIUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4127_1.jpg,2024-05-08T16:04:11.788416+06:00,AVAILABLE
d4437fe6-c838-4f54-9a39-b5b6634a156c,BLF 4084,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': 'eb677211-8839-4cd1-a6dd-ce7ab2f1ee11', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4084_2.jpg'}, {'id': '010ae1fb-1b19-4505-88cc-e395401634a5', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4084_3.jpg'}, {'id': 'e7d00980-64f8-4a7f-8f2c-94101469a848', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4084_4.jpg'}]",0.0,6 Months,2,0,43.8,1KIrkAnJRyE,0.0,0.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4084_1.jpg,2024-05-07T14:54:10.652651+06:00,AVAILABLE
d75a8a60-7f64-4ba0-afe1-b2746b43d1c9,BLF 4090,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '327c3bc9-e6a9-406c-9043-d5ad57683f31', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4090_2.jpg'}, {'id': 'be7987c6-7778-4589-9823-e8ff338054e1', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4090_3.jpg'}, {'id': '199a7eda-65ee-45a6-87a9-ba42b2962cee', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4090_4.jpg'}]",0.0,3 Months,2,0,40.0,oIKKUaB_Lw0,0.0,0.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4090_1.jpg,2024-05-07T15:38:45.218464+06:00,AVAILABLE
d890ea54-c0b6-4072-a578-7a58331cd3d4,BLF 4047,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '8ac16f47-b17e-4a2a-9c7f-3f823590ed0e', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4047_2.jpg'}, {'id': 'e5aa1294-b6bb-4028-93cd-5623e1c71179', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4047_3.jpg'}, {'id': 'd30bac8e-234c-4b25-a347-d943a7ea346a', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4047_4.jpg'}]",0.0,6 Months,2,0,41.1,OtQNTvPJ96I,0.0,0.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4047_1.jpg,2024-05-06T16:17:21.252260+06:00,AVAILABLE
0287ae17-ac14-4e17-b183-2f9e906af280,BLF 4053,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '7179f5bb-3335-48f5-89ae-f752c3ecf0c6', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4053_2.jpg'}, {'id': '17e4d5ed-d065-4ac2-85c3-008921c26cf6', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4053_3.jpg'}, {'id': 'f1fa8783-24ac-45d3-b86b-4c7912a19bfd', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4053_4.jpg'}]",0.0,6 Months,2,0,43.3,sIvALKVS7Uo,0.0,0.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4053_1.jpg,2024-05-06T17:25:42.675082+06:00,AVAILABLE
00d10b70-3262-4a02-a15e-c2458104357e,BLF 4279,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': 'd2c3081a-a602-49e2-9fb4-accb4c502cde', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4279_2.jpg'}, {'id': '3107d485-6a57-4e6a-9b5a-9e4621f12df6', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4279_3.jpg'}, {'id': 'd1079c95-d83b-4ed4-b05a-6523be3cc7be', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4279_4.jpg'}]",0.0,3 Months,2,0,46.0,y1x8Zj6FXw8,277.0,175000.00,False,True,True,True,True,MEDIUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4279_1.jpg,2024-05-21T11:46:06.692360+06:00,AVAILABLE
c4ff0b8c-32eb-4025-a2a2-7ee07a9d66f3,BLF 4245,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '4cce999e-15ba-437f-8136-0ef2b9a0b4e5', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4245_2.jpg'}, {'id': '179346a4-b2d4-4c0d-901c-6f18f578d678', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4245_3.jpg'}, {'id': '8f52ad07-6615-438e-bc21-b055714550f2', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4245_4.jpg'}]",0.0,3 Months,2,0,42.0,ea5xJWnAB74,236.0,149000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4245_1.jpg,2024-05-15T16:26:32.115305+06:00,ORDERED
a0425f21-f52a-46aa-bdde-ebdecf08815e,BLF 4251,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '79084897-0355-4368-ada4-9bb16f225def', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4251_2.jpg'}, {'id': 'baada04a-4e52-4f89-9e4e-81401848d668', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4251_3.jpg'}, {'id': '9e2460eb-5833-435d-be72-193857c4cf2b', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4251_4.jpg'}]",0.0,3 Months,2,0,43.6,bgWVtjHBtMY,280.0,175000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4251_1.jpg,2024-05-15T16:34:10.223418+06:00,ORDERED
38908e48-b495-40cd-95b8-574315bfcfce,BLF 4250,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '3cd8e370-f2f9-4db1-8cd2-e313842eec60', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4250_2.jpg'}, {'id': '14bd2f6d-4549-46d4-9015-6bde0618b561', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4250_3.jpg'}, {'id': 'ab1aa23c-7a88-4f81-93a6-b1b8993a9f30', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4250_4.jpg'}]",0.0,6 Months,2,0,44.0,OO6-yZ4yM7w,261.0,164000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4250_1.jpg,2024-05-15T16:32:57.048418+06:00,ORDERED
254e39ed-f99a-4c82-91d2-7bd9dea69b17,BLF 4244,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': 'cf734366-a700-4698-9046-2d92b02ce77a', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4244_2.jpg'}, {'id': 'c181bcba-34c4-4ec3-bc71-321c134e5cb1', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4244_3.jpg'}, {'id': '2d9d9bae-56cd-477f-a90f-7f6d6e70161a', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4244_4.jpg'}]",0.0,3 Months,2,0,43.4,dT_Lta2R1h0,277.0,176000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4244_1.jpg,2024-05-15T16:05:17.789250+06:00,AVAILABLE
74d3089e-a20d-4b95-b038-901815a5f808,BLF 4278,COW,MALE_BULL,RED,,['GRASS_GRAIN_FED'],2 Years,"[{'id': '07dc36a8-bcd0-4b9e-8418-05d30486856a', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4278_2.jpg'}, {'id': '10752d03-cda2-467b-963f-70533a8a5658', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4278_3.jpg'}, {'id': '1ea584ea-a4a8-4fe3-9ed7-e25098a88f74', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4278_4.jpg'}]",0.0,3 Months,2,0,42.4,feI2XGBaY5I,239.0,150000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4278_1.jpg,2024-05-16T15:34:43.309382+06:00,AVAILABLE
03bbfb5e-1736-45f7-a6ca-173663c3438d,BLF 4293,COW,MALE_BULL,RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': 'fe0f5ef9-2a08-4c25-b2d2-e186096c8cc3', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4293_2.jpg'}, {'id': 'd2f8e1e4-2126-475e-b117-f60763cbfaec', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4293_3.jpg'}, {'id': 'a6d2f2d3-9c50-41ee-b31d-ce36ef3eb6cb', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4293_4.jpg'}]",0.0,3 Months,2,0,42.0,qkUGO-L9Jug,252.0,157000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4293_1.jpg,2024-05-21T11:56:44.440390+06:00,AVAILABLE
32f60558-2caa-4beb-b4b7-b765fa3195da,BLF 4287,COW,MALE_BULL,NON_RED,LOCAL,['GRASS_GRAIN_FED'],2 Years,"[{'id': '12f672f5-f9ec-466b-89db-55fe4db78b50', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4287_2.jpg'}, {'id': 'ca3475fa-0721-4b36-bf53-7ac160bc7e14', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4287_3.jpg'}, {'id': '17e4ea77-cca5-4221-8947-6e99eba60a01', 'image': 'https://uploads-master.aws.bengalmeat.com/media/cattle-image/2024/BLF_4287_4.jpg'}]",0.0,3 Months,2,0,42.4,CupKQL1f0h4,245.0,154000.00,False,True,True,True,True,MINIMUM,https://uploads-master.aws.bengalmeat.com/media/cattle-thumbnail/2024/BLF_4287_1_asPcOz1.jpg,2024-05-21T11:50:49.049551+06:00,AVAILABLE
